50000,19741,50000,50000,50000,50000,50000,50000,50000,
1056,19702,50000,50000,50000,50000,50000,50000,50000,
50000,50000,50000,50000,50000,50000,50000,49928,50000,
50000,50000,50000,50000,50000,50000,50000,50000,50000,
975,50000,50000,50000,50000,50000,50000,50000,50000,
50000,50000,50000,50000,50000,50000,50000,50000,50000,
115,16917,50000,50000,50000,50000,50000,50000,50000,
50000,50000,50000,50000,50000,50000,50000,50000,50000,
50000,50000,50000,50000,50000,50000,50000,50000,50000,
50000,50000,50000,50000,50000,50000,50000,50000,50000,
50000,19665,50000,50000,50000,50000,50000,50000,40365,
50000,50000,9670,50000,50000,50000,50000,50000,50000,
50000,19673,50000,50000,50000,50000,50000,50000,50000,
50000,50000,9584,50000,50000,50000,50000,50000,50000,
448,50000,50000,50000,50000,50000,50000,50000,50000,
50000,50000,50000,50000,50000,50000,50000,50000,50000,
50000,50000,50000,50000,50000,50000,50000,50000,41351,
50000,50000,50000,50000,50000,50000,50000,50000,50000,
50000,50000,50000,50000,50000,50000,50000,50000,50000,
4230,19661,6682,50000,50000,50000,50000,50000,50000,
43,19518,50000,50000,50000,50000,50000,50000,41437,
50000,50000,50000,50000,50000,50000,50000,50000,50000,
50000,50000,50000,50000,50000,50000,50000,50000,50000,
372,50000,9315,50000,50000,50000,50000,50000,41829,
50000,50000,9990,50000,50000,50000,50000,50000,50000,
50000,50000,50000,50000,50000,50000,50000,50000,50000,
50000,50000,9849,50000,50000,50000,50000,50000,40532,
50000,50000,50000,50000,50000,50000,50000,50000,50000,
50000,50000,8045,50000,50000,50000,50000,50000,41203,
490,50000,50000,50000,50000,50000,50000,50000,50000,
50000,50000,50000,50000,50000,50000,50000,50000,50000,
50000,50000,50000,50000,50000,50000,50000,50000,41071,
155,50000,50000,50000,50000,50000,50000,50000,50000,
449,50000,50000,50000,50000,50000,50000,50000,50000,
50000,50000,50000,50000,50000,50000,50000,50000,50000,
21,50000,9388,50000,50000,50000,50000,50000,50000,
50000,50000,50000,50000,50000,50000,50000,50000,50000,
50000,50000,7541,50000,50000,50000,50000,50000,50000,
50000,50000,50000,50000,50000,50000,50000,50000,40220,
1484,50000,50000,50000,50000,50000,50000,50000,50000,
50000,50000,50000,50000,50000,50000,50000,50000,50000,
157,50000,50000,50000,50000,50000,50000,50000,50000,
850,50000,50000,50000,50000,50000,50000,50000,50000,
3436,50000,50000,50000,50000,50000,50000,50000,50000,
50000,19319,50000,50000,50000,50000,50000,50000,40528,
88,18553,50000,50000,50000,50000,50000,50000,50000,
50000,50000,50000,50000,50000,50000,50000,50000,42197,
50000,50000,50000,50000,50000,50000,50000,50000,50000,
50000,50000,9658,50000,50000,50000,50000,50000,50000,
50000,18754,50000,50000,50000,50000,50000,50000,41130,
50000,50000,50000,50000,50000,50000,50000,50000,50000,
50000,18555,50000,50000,50000,50000,50000,50000,50000,
50000,50000,9674,50000,50000,50000,50000,50000,50000,
237,50000,9729,50000,50000,50000,50000,50000,38182,
50000,19520,50000,50000,50000,50000,50000,50000,42413,
1158,50000,50000,50000,50000,50000,50000,50000,50000,
50000,50000,50000,50000,50000,50000,50000,50000,50000,
50000,50000,50000,50000,50000,50000,50000,50000,40362,
50000,50000,8930,50000,50000,50000,50000,50000,50000,
50000,50000,50000,50000,50000,50000,50000,50000,50000,
50000,19820,50000,50000,50000,50000,50000,49685,43654,
4475,50000,50000,50000,50000,50000,50000,50000,50000,
50000,50000,50000,50000,50000,50000,50000,50000,41121,
2508,50000,50000,50000,50000,50000,50000,50000,41449,
50000,50000,50000,50000,50000,50000,50000,48970,50000,
50000,50000,9658,50000,50000,50000,50000,50000,50000,
50000,50000,50000,50000,50000,50000,50000,50000,50000,
50000,50000,50000,50000,50000,50000,50000,50000,41183,
133,50000,50000,50000,50000,50000,50000,50000,50000,
50000,50000,50000,50000,50000,50000,50000,50000,39811,
50000,50000,50000,50000,50000,50000,50000,50000,38669,
64,50000,50000,50000,50000,50000,50000,50000,50000,
50000,50000,9063,50000,50000,50000,50000,50000,50000,
50000,50000,6964,50000,50000,50000,50000,50000,50000,
581,50000,50000,50000,50000,50000,50000,50000,50000,
2416,50000,50000,50000,50000,50000,50000,50000,50000,
4632,50000,50000,50000,50000,50000,50000,50000,50000,
50000,19593,50000,50000,50000,50000,50000,50000,50000,
46,50000,50000,50000,50000,50000,50000,50000,50000,
50000,50000,50000,50000,50000,50000,50000,50000,38809,
50000,19668,8168,50000,50000,50000,50000,50000,50000,
316,50000,50000,50000,50000,50000,50000,50000,39828,
50000,50000,50000,50000,50000,50000,50000,50000,50000,
50000,50000,50000,50000,50000,50000,50000,50000,50000,
50000,50000,50000,50000,50000,50000,50000,50000,41184,
4,50000,50000,50000,50000,50000,50000,50000,41144,
983,18217,50000,50000,50000,50000,50000,50000,50000,
50000,17319,50000,50000,50000,50000,50000,50000,41119,
50000,50000,50000,50000,50000,50000,50000,50000,50000,
50000,19408,50000,50000,50000,50000,50000,50000,50000,
50000,50000,50000,50000,50000,50000,50000,50000,50000,
4024,50000,50000,50000,50000,50000,50000,50000,50000,
50000,50000,50000,50000,50000,50000,50000,50000,50000,
