0,-1200,0,0,0,0,715,0,77,10118,0
0,-1200,0,2,0,0,0,-5,0,0,0
0,-1200,0,2,0,0,0,0,77,10118,0
0,-1200,96996,0,0,0,715,-5,0,0,0
0,-1200,96996,0,0,0,715,-5,0,10118,0
0,-1200,96996,0,0,0,715,-5,77,0,0
0,-1200,96996,0,0,0,715,0,0,0,0
0,-1200,96996,0,0,0,715,0,77,0,0
0,-1200,96996,0,0,0,715,0,77,10118,0
0,-1200,96996,2,0,0,0,-5,0,0,0
0,-1200,96996,2,0,0,0,0,0,0,0
0,-1200,96996,2,0,0,715,-5,0,0,0
0,-1200,96996,2,0,0,715,-5,77,10118,0
0,-1280,0,0,0,0,-456,-6,0,10100,0
0,-1280,0,0,0,0,-456,0,21,0,0
0,-1280,0,0,0,0,-456,0,21,10100,0
0,-1280,0,0,0,0,0,0,0,0,0
0,-1280,0,17,0,0,-456,-6,0,0,0
0,-1280,0,17,0,0,0,-6,0,10100,0
0,-1280,0,17,0,0,0,0,0,10100,0
0,-1280,0,17,0,0,0,0,21,0,0
0,-1280,67005,0,0,0,-456,0,0,10100,0
0,-1280,67005,0,0,0,0,-6,0,0,0
0,-1280,67005,17,0,0,-456,-6,21,10100,0
0,-1280,67005,17,0,0,-456,0,21,10100,0
0,-1370,0,2,500,0,0,0,0,0,0
0,-1370,0,2,500,0,0,0,0,10124,0
0,-1370,0,2,500,0,531,-5,0,0,0
0,-1370,84691,0,0,0,531,-5,0,0,0
0,-1370,84691,0,500,0,531,-5,0,0,0
0,-1370,84691,2,0,0,0,-5,0,10124,0
0,-1370,84691,2,500,0,0,0,0,0,0
0,-1370,84691,2,500,0,531,-5,0,0,0
0,-1440,0,0,0,0,-409,0,0,10065,0
0,-1440,94132,0,0,0,-409,1,0,0,0
0,-1440,94132,0,0,0,0,0,0,0,0
0,-1440,94132,0,0,0,0,1,0,0,0
0,-1440,94132,0,0,0,0,1,0,10065,0
0,-1440,94132,2,0,0,-409,1,0,10065,0
0,-1440,94132,2,0,0,0,0,0,0,0
0,-1440,94132,2,0,0,0,0,0,10065,0
0,-1440,94132,2,0,0,0,1,0,10065,0
0,-1610,0,0,0,114,0,0,-1,0,0
0,-1610,0,0,0,114,416,0,0,10099,0
0,-1610,0,2,0,0,0,4,0,10099,0
0,-1610,0,2,0,0,416,4,-1,10099,0
0,-1610,0,2,0,114,416,0,0,10099,0
0,-1610,0,2,0,114,416,4,-1,10099,0
0,-1610,91652,0,0,114,0,0,-1,10099,0
0,-1610,91652,2,0,0,0,4,0,0,0
0,-1610,91652,2,0,0,416,4,0,0,0
0,-1610,91652,2,0,114,416,4,0,0,0
0,-1650,0,3,0,900,621,0,62,0,0
0,-1650,91930,0,0,0,0,0,62,0,0
0,-1650,91930,0,0,900,0,0,0,0,0
0,-1650,91930,0,0,900,621,-8,62,10157,0
0,-1650,91930,0,900,0,0,-8,62,0,0
0,-1650,91930,0,900,0,621,0,0,0,0
0,-1650,91930,3,0,900,621,0,62,10157,0
0,-1650,91930,3,900,900,621,0,0,0,0
0,-1670,0,0,0,0,124,0,0,-1,0
